Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA 2023,SSP1,Gabon,GDP|PPP per capita,USD_2021/yr,16082.00487477425,17937.4532952364,20291.0085273275,23369.661332489763,26786.45967720897,30707.74898961594,34863.21290273145,39448.073579934775,44014.09739715012,48256.98364906695,51910.06370096771,54997.440017809284,57858.6020549863,60745.07051505772,63701.881021542424,65384.48681942186
IIASA 2023,SSP1,United Kingdom,GDP|PPP per capita,USD_2021/yr,52721.54460833721,55270.521831345584,57554.259997989786,60259.24451554102,63561.383048477466,66313.35137331324,68885.58322155032,72000.15513093119,76219.10402921152,80773.5486097528,85685.2154538911,91212.75637588525,97301.04909852592,103881.62314766161,110692.6173476107,114737.55475878343
IIASA 2023,SSP1,Georgia,GDP|PPP per capita,USD_2021/yr,22154.34070929005,23319.473961402855,24247.907835037535,25489.564458735345,27552.203558648795,30516.521122432623,33941.110432700145,37601.8765957638,41140.79947762908,44670.94093271941,48279.23428817386,52082.655189434896,56086.04789697082,60202.88986033654,64119.723738851,66486.33684637952
IIASA 2023,SSP1,Ghana,GDP|PPP per capita,USD_2021/yr,6381.087412817498,7315.49403180803,8225.254935932584,9786.758979931426,11915.882936091839,14691.094200961594,18101.13237219687,22290.847672273325,27097.657226507323,32257.847056106297,37668.56167818379,43217.60980121602,48869.91602904733,54614.96550151136,60339.21581337053,64850.62659415451
IIASA 2023,SSP1,Guinea,GDP|PPP per capita,USD_2021/yr,3374.489281211997,4927.414488534034,7142.903775499473,9989.945436480868,13394.23975905307,17467.368181389007,21631.26272482307,25781.407154060955,29649.1790583702,33368.15984163503,36739.85948051566,39738.10913574446,42515.88016784856,45157.881133187104,47805.91303673149,49362.83756018326
IIASA 2023,SSP1,Gambia,GDP|PPP per capita,USD_2021/yr,2667.0269242145882,3482.51312823334,4548.484804229329,5954.88261164098,7797.442116558741,10119.293067250383,12769.873451192008,15751.329920229455,18927.541955354318,22231.69148041542,25564.461708217284,28917.507607005187,32253.636019886268,35622.56212252312,38925.90679534336,41355.24618847352
IIASA 2023,SSP1,Guinea-Bissau,GDP|PPP per capita,USD_2021/yr,2687.835209929666,3182.7421723954153,3772.420039729847,4509.412795976446,5423.14933966208,6614.002097925016,8146.334109425009,10120.76083054684,12551.176194439466,15469.831182730732,18833.668685365432,22601.74587060408,26711.805134458307,31092.276564456653,35636.4279180397,39539.09723639064
IIASA 2023,SSP1,Equatorial Guinea,GDP|PPP per capita,USD_2021/yr,12151.167163771075,12795.906611381879,13150.533339563704,14664.455821950978,16565.516279902855,19159.72231763388,22253.22674900116,26198.90981553474,30336.168472573587,34380.088258821765,37947.88348128084,41235.849988674745,44264.45005691791,47111.73285564633,49858.4006470311,51653.52780907921
IIASA 2023,SSP1,Greece,GDP|PPP per capita,USD_2021/yr,37400.315367248506,42602.8636718963,47604.30626128617,52225.14428055211,56387.54309753198,60345.96778329061,64208.63647323534,68289.32242123329,71721.55810344854,75309.9348993006,79697.71572652212,85058.76482913084,91239.90623662966,98095.12324910089,105249.65546137122,110443.16058731252
IIASA 2023,SSP1,Grenada,GDP|PPP per capita,USD_2021/yr,17759.56802665261,20158.170830568135,23020.692187776538,26675.959056434993,30410.54528817517,34205.431160833825,37931.63247494517,42596.616601498674,47350.50584077967,51836.607632444495,55867.93717524839,59731.43317860777,63575.78277567749,67391.94442439609,71061.54531193055,73217.1152845221
IIASA 2023,SSP1,Guatemala,GDP|PPP per capita,USD_2021/yr,10550.375289471776,11927.357678419154,13809.602276323249,16298.1358104037,19170.14880581053,22662.473518581053,26672.612154968767,31252.870241652225,36024.54930417638,41025.75019938324,46129.88094546951,50991.58824341433,55477.913946809465,59671.50561611814,63641.98905474699,66463.17952508494
IIASA 2023,SSP1,Hong Kong,GDP|PPP per capita,USD_2021/yr,69131.29464419013,74536.20284576081,81122.01502499808,86094.67818122105,93163.58659301925,101124.82184694255,110266.46561794802,121652.07091135306,134277.1512760363,145701.69458800915,155579.23339661752,164962.4753591223,174279.15568031417,184441.07740555063,194798.87076923184,201129.2258405707
IIASA 2023,SSP1,Honduras,GDP|PPP per capita,USD_2021/yr,6815.862267830696,8271.892249659102,10138.10646126932,12459.929071371824,15248.275459419765,18524.601430066145,22172.46216124226,26258.597367351624,30727.80158372157,35450.858801020295,40136.357225238506,44443.40390850449,48205.930236558335,51647.35087172085,54968.907339868485,57333.884211718614
IIASA 2023,SSP1,Croatia,GDP|PPP per capita,USD_2021/yr,38820.216463391436,41793.964044437664,45430.17982082306,50073.309106928486,54215.525753301794,58384.09030510635,62881.10432136451,68650.80762071237,74573.25285760843,80147.1015350214,85228.82194343151,90028.62960599587,94725.49013819662,99423.40665106931,105006.10117221742,110102.91997726339
