"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2023","SSP1","United Kingdom","Population","million",66.95117200000001,67.868784,68.800663,69.730396,70.693217,71.75876,72.882422,73.738125,74.321572,74.698877,75.00664,75.279883,75.420274,75.24138,74.61598699999999,73.4099369999999,71.767991
"IIASA-WiC POP 2023","SSP1","Georgia","Population","million",3.769183,3.623341,3.471832,3.322535,3.184301,3.054199,2.924606,2.790431,2.653031,2.527469,2.416158,2.317577,2.2290200000000002,2.149005,2.077909999999999,2.017167,1.966273
"IIASA-WiC POP 2023","SSP1","Ghana","Population","million",31.849247,35.002096,37.886342,40.551488,42.998720999999996,45.3265959999999,47.435442,49.15671,50.475432999999995,51.403861,52.012243000000005,52.314413,52.312375,52.042497000000004,51.521539,50.756399,49.76921
"IIASA-WiC POP 2023","SSP1","Guinea","Population","million",13.041590000000001,14.449873,15.728022000000001,16.885557000000002,17.901919000000003,18.825551,19.613611000000002,20.243031,20.703471,21.027943,21.218219,21.261989000000003,21.175705999999998,20.953847000000003,20.633376000000002,20.225236000000002,19.741048
"IIASA-WiC POP 2023","SSP1","Guadeloupe","Population","million",0.39509299999999997,0.397515,0.40033599999999997,0.40109500000000003,0.39980299999999996,0.396495,0.39175699999999997,0.38632299999999903,0.380339,0.37450700000000003,0.369154,0.364655,0.36136,0.359155,0.357379,0.35495600000000005,0.350906
"IIASA-WiC POP 2023","SSP1","Gambia","Population","million",2.541048,2.8178479999999997,3.08165,3.330102,3.5498279999999998,3.751343,3.9242939999999997,4.06257,4.161062,4.229509,4.268534,4.277865,4.25838900000001,4.21529000000001,4.149048,4.061114,3.95302
"IIASA-WiC POP 2023","SSP1","Guinea-Bissau","Population","million",1.993302,2.200689,2.394527,2.569125,2.723466,2.863623999999999,2.989365,3.087908,3.158452,3.203694,3.224625,3.222942,3.202123,3.164189,3.108248,3.034599,2.943889
"IIASA-WiC POP 2023","SSP1","Equatorial Guinea","Population","million",1.578364,1.780913,1.978942,2.169243,2.347684,2.518605,2.6811529999999992,2.821204,2.9356,3.023596,3.083323,3.115525,3.12058,3.104842,3.069479,3.013358,2.934257
"IIASA-WiC POP 2023","SSP1","Greece","Population","million",10.543345,10.376237999999999,10.237885,10.123949000000001,10.032242,9.95710100000001,9.888462,9.793718,9.66527000000001,9.503937000000011,9.320931999999999,9.124572,8.918109000000001,8.700191,8.470447,8.225888000000001,7.950738
"IIASA-WiC POP 2023","SSP1","Grenada","Population","million",0.12316099999999999,0.125864,0.12717499999999998,0.12751300000000002,0.127383,0.127097,0.12637299999999999,0.125054,0.12309300000000001,0.12091299999999901,0.118597,0.116079,0.113255,0.110054,0.106597,0.103093999999999,0.09966200000000001
"IIASA-WiC POP 2023","SSP1","Guatemala","Population","million",17.231175,18.454454000000002,19.593863000000002,20.542852,21.312009999999997,21.936232,22.375356,22.629849999999998,22.727339,22.707331,22.571768000000002,22.317588,21.941689,21.459068,20.881658,20.22014,19.489790000000003
"IIASA-WiC POP 2023","SSP1","French Guiana","Population","million",0.287814,0.318976999999999,0.34708300000000003,0.372731,0.39577,0.417126,0.436251,0.45231999999999906,0.46503500000000003,0.474294,0.48055000000000003,0.484894999999999,0.48779100000000003,0.48906000000000005,0.488317,0.484651,0.477452999999999
"IIASA-WiC POP 2023","SSP1","Guam","Population","million",0.168571,0.172511,0.175647,0.17777400000000002,0.178568,0.17843799999999901,0.17721099999999998,0.17494,0.172044,0.169216,0.166543,0.164054,0.161572,0.159023,0.156226,0.15312499999999998,0.149629999999999
"IIASA-WiC POP 2023","SSP1","Guyana","Population","million",0.7918449999999999,0.8043119999999999,0.809075999999999,0.805578,0.7945259999999991,0.778243,0.757184,0.732857,0.705878,0.679709,0.654449,0.6299469999999999,0.6060749999999999,0.582718,0.559827,0.537639,0.516539
"IIASA-WiC POP 2023","SSP1","Hong Kong","Population","million",7.501908,7.542726,7.567619,7.56993000000001,7.56005800000001,7.548724,7.547765,7.519369,7.447547,7.328067,7.178815,7.007804,6.813786,6.590531,6.334688,6.053646,5.7611740000000005
