entity_code,entity_name,historical_population,historical_population_first_year,historical_population_last_year,historical_electricity_demand_per_capita,historical_electricity_demand_per_capita_first_year,historical_electricity_demand_per_capita_last_year,historical_gdp_ppp_per_capita,historical_gdp_ppp_per_capita_first_year,historical_gdp_ppp_per_capita_last_year,future_population,future_gdp_ppp_per_capita,future_electricity_demand_per_capita,area_greater_than_500_km2
CHN,China,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
CHN_AH,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_BJ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_CQ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_FJ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_GD,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_GS,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_GX,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_GZ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HA,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HB,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HE,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HI,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HL,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_HN,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_JL,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_JS,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_JX,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_LN,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_NM,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_NX,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_QH,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_SC,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_SD,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_SH,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_SN,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_SX,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_TJ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_XJ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_XZ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_YN,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHN_ZJ,Subdivision of China,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CIV,Côte d'Ivoire,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
CMR,Cameroon,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
COD,"Congo, The Democratic Republic of the",True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
COG,Congo,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
COK,Cook Islands,False,,,True,2000.0,2022.0,False,,,False,False,False,False
COL,Colombia,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
COM,Comoros,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
CPV,Cabo Verde,True,1960.0,2024.0,True,2000.0,2022.0,True,1980.0,2024.0,True,True,True,True
CRI,Costa Rica,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
CUB,Cuba,True,1960.0,2024.0,True,1990.0,2023.0,False,,,True,False,True,True
CUW,Curaçao,True,1960.0,2024.0,True,1990.0,2022.0,True,2000.0,2023.0,True,False,False,False
CYM,Cayman Islands,True,1960.0,2024.0,True,2000.0,2023.0,True,2006.0,2023.0,False,False,False,False
CYP,Cyprus,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
CZE,Czechia,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
DEU,Germany,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
DJI,Djibouti,True,1960.0,2024.0,True,2000.0,2023.0,True,1990.0,2024.0,True,True,True,True
DMA,Dominica,True,1960.0,2024.0,True,2000.0,2023.0,True,1981.0,2024.0,False,False,False,True
DNK,Denmark,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
DOM,Dominican Republic,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
DZA,Algeria,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
ECU,Ecuador,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
EGY,Egypt,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
ERI,Eritrea,True,1960.0,2024.0,True,1992.0,2023.0,False,,,True,True,True,True
ESH,Western Sahara,False,,,True,2000.0,2009.0,False,,,True,False,True,True
ESP,Spain,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
EST,Estonia,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
ETH,Ethiopia,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
FIN,Finland,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
FJI,Fiji,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
FLK,Falkland Islands (Malvinas),False,,,True,2000.0,2022.0,False,,,False,False,False,True
FRA,France,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
FRO,Faroe Islands,True,1960.0,2024.0,True,2000.0,2022.0,True,2008.0,2023.0,False,False,False,True
FSM,"Micronesia, Federated States of",True,1960.0,2024.0,False,,,True,1990.0,2024.0,True,True,True,True
GAB,Gabon,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
GBR,United Kingdom,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
GBR_GB,Subdivision of United Kingdom,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
GEO,Georgia,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
GGY,Guernsey,False,,,False,,,False,,,False,False,False,False
GHA,Ghana,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
GIN,Guinea,True,1960.0,2024.0,True,2000.0,2023.0,True,1990.0,2024.0,True,True,True,True
GMB,Gambia,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
GNB,Guinea-Bissau,True,1960.0,2024.0,True,2000.0,2022.0,True,1980.0,2024.0,True,True,True,True
GNQ,Equatorial Guinea,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
GRC,Greece,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
GRD,Grenada,True,1960.0,2024.0,True,2000.0,2022.0,True,1980.0,2024.0,True,True,True,False
GRL,Greenland,True,1960.0,2024.0,True,2000.0,2022.0,True,1990.0,2023.0,False,False,False,True
GTM,Guatemala,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
GUM,Guam,True,1960.0,2024.0,True,2000.0,2022.0,False,,,True,False,True,False
GUY,Guyana,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,False,True,True
